#eta muw thetas a b c
0.000 1 0 20.0775 -864.287 15792.5
0.000 0.991568 10 19.9096 -862.583 15867
0.000 0.966878 20 19.4254 -845.883 15699.6
0.000 0.927777 30 18.6636 -810.68 15172
0.000 0.877437 40 17.2285 -727.478 13666
0.000 0.82048 50 15.7067 -630.068 11865.8
0.000 0.763094 60 14.4858 -550.317 10522.4
0.000 0.712903 70 13.7093 -495.978 9824.69
0.005 1 0 19.8667 -775.696 13321.4
0.005 0.991568 10 19.6962 -772.55 13342.6
0.005 0.966878 20 19.211 -755.972 13169.1
0.005 0.927777 30 18.471 -723.393 12700.9
0.005 0.877437 40 17.0982 -650.542 11490.9
0.005 0.82048 50 15.6379 -564.386 10023.4
0.005 0.763094 60 14.4634 -492.881 8917.76
0.005 0.712903 70 13.7358 -444.368 8361.77
0.015 1 0 20.3138 -762.852 13436.1
0.015 0.991568 10 20.3347 -789.566 14380.3
0.015 0.966878 20 20.1531 -819.305 15649.6
0.015 0.927777 30 19.8116 -849.374 17107.7
0.015 0.877437 40 18.8281 -836.695 17704.8
0.015 0.82048 50 17.4812 -769.165 16771.1
0.015 0.763094 60 16.2918 -697.406 15718.9
0.015 0.712903 70 15.4174 -631.303 14849
0.020 1 0 20.1648 -709.919 12041.9
0.020 0.991568 10 20.1511 -729.405 12726.8
0.020 0.966878 20 19.9917 -760.998 13958.8
0.020 0.927777 30 19.5819 -776.786 14887.3
0.020 0.877437 40 18.5993 -761.821 15314.4
0.020 0.82048 50 17.2963 -702.374 14605.6
0.020 0.763094 60 16.1386 -634.211 13630.1
0.020 0.712903 70 15.2956 -571.512 12820.9
0.025 1 0 20.0286 -665.209 10921.4
0.025 0.991568 10 20.0233 -684.992 11573.5
0.025 0.966878 20 19.8367 -710.119 12544.3
0.025 0.927777 30 19.3951 -719.644 13231.9
0.025 0.877437 40 18.3919 -699.641 13441.6
0.025 0.82048 50 17.1203 -644.793 12837.3
0.025 0.763094 60 15.9882 -580.038 11940.6
0.025 0.712903 70 15.1864 -521.635 11226.7
0.030 1 0 19.937 -631.907 10129.1
0.030 0.991568 10 19.9283 -649.904 10695.6
0.030 0.966878 20 19.6642 -662.268 11275.7
0.030 0.927777 30 19.2423 -673.994 11970.6
0.030 0.877437 40 18.2157 -649.562 12015.3
0.030 0.82048 50 16.958 -596.573 11436.6
0.030 0.763094 60 15.8472 -532.763 10538.6
0.030 0.712903 70 15.0721 -478.2 9923.98
0.035 1 0 19.8385 -600.538 9391
0.035 0.991568 10 19.7841 -611.302 9750.42
0.035 0.966878 20 19.5285 -624.473 10318.5
0.035 0.927777 30 19.0814 -631.294 10839.2
0.035 0.877437 40 18.0581 -607.893 10884.8
