#thetas a b c d
0 1 66.1914 -1888.62 31666.3
0 1 61.5364 -1501.97 23152
0 1 56.8596 -1317.24 22899.4
0 1 54.0859 -1094.61 17709.4
0 1 51.7928 -925.183 14034.3
0 1 49.8525 -791.856 11333.5
0 1 48.2047 -685.654 9302.87
0 1 46.798 -602.043 7818.06
0 1 45.8459 -566.435 7295.55
0 1 44.7306 -504.674 6341.62
0 1 43.7032 -441.625 5027.45
0 1 42.8182 -395.606 4310.28
0 1 42.0176 -354.6 3674.48
0 1 41.3024 -319.315 3125.3
0 1 40.6746 -293.58 2873.69
0 1 40.1014 -269.864 2626.52
0 1 39.3345 -175.845 -2315.52
0 1 38.8604 -161.994 -1987.87
0 1 38.0047 -130.313 -2311.23
0 1 35.2731 -79.676 -123.698
0 1 33.7014 -44.2432 -9.13598
10 1.0085 67.0341 -1931.47 32460.6
10 1.0085 62.3379 -1541.59 23876.5
10 1.0085 57.7316 -1373.48 24212
10 1.0085 54.8981 -1142.1 18736
10 1.0085 52.5552 -966.963 14888.8
10 1.0085 50.5671 -827.004 11993
10 1.0085 48.8954 -718.828 9914.76
10 1.0085 47.4499 -630.411 8305.99
10 1.0085 46.6807 -632.024 9385.54
10 1.0085 45.5144 -560.03 7934.24
10 1.0085 44.4899 -501.384 6899.21
10 1.0085 43.5367 -440.092 5476.98
10 1.0085 42.7329 -399.966 4870.88
10 1.0085 41.9967 -362.137 4223.08
10 1.0085 41.3461 -334.129 3948.96
10 1.0085 40.7438 -305.258 3464.06
10 1.0085 40.0253 -226.36 -500.981
10 1.0085 39.519 -203.427 -933.097
10 1.0085 38.6549 -176.164 -619.226
10 1.0085 35.8005 -102.569 382.881
10 1.0085 34.1822 -61.9697 296.046
20 1.03426 69.0684 -2019.57 34031.2
20 1.03426 64.1892 -1614.59 25101.3
20 1.03426 59.6292 -1471.74 26352.4
20 1.03426 56.6569 -1227.21 20494.7
20 1.03426 54.1877 -1038.47 16265.9
20 1.03426 52.1045 -890.758 13181.2
20 1.03426 50.344 -774.754 10908.2
20 1.03426 48.8259 -680.681 9164.35
20 1.03426 48.3342 -744.726 13052.9
20 1.03426 47.0529 -652.415 10652
20 1.03426 45.9422 -581.322 9028.05
20 1.03426 44.946 -518.618 7660.25
20 1.03426 44.0561 -465.278 6528.09
20 1.03426 43.2564 -420.05 5636.46
20 1.03426 42.5765 -389.818 5264.22
20 1.03426 41.9085 -353.04 4533.41
20 1.03426 41.2116 -287.506 1437.14
20 1.03426 40.6699 -262.079 1046.5
20 1.03426 39.7306 -226.112 960.361
20 1.03426 36.6208 -121.185 587.132
20 1.03426 34.9002 -79.1232 694.627
30 1.07785 72.2075 -2135.47 35999.6
30 1.07785 67.0679 -1712.29 26682.3
30 1.07785 62.5012 -1602.12 29135.4
30 1.07785 59.3194 -1337.57 22726.5
30 1.07785 56.6806 -1134.4 18118.7
30 1.07785 54.4472 -973.744 14691.6
30 1.07785 52.5574 -847.668 12177.7
30 1.07785 50.9207 -744.855 10235.1
30 1.07785 50.7805 -887.362 17545.6
30 1.07785 49.3396 -771.378 14125.5
30 1.07785 48.1127 -685.392 11936.4
30 1.07785 47.0543 -620.341 10514.6
30 1.07785 46.0654 -554.42 8873.2
30 1.07785 45.1903 -501.678 7706.41
30 1.07785 44.4053 -456.913 6806.27
30 1.07785 43.6877 -416.448 5941.91
30 1.07785 43.0105 -367.607 3977.31
30 1.07785 42.4167 -339.556 3678.53
30 1.07785 41.364 -288.132 2731.33
30 1.07785 37.9368 -158.892 1591.43
30 1.07785 36.0086 -96.9986 951.872
40 1.13968 75.9718 -2251.6 37815.2
40 1.13968 70.6269 -1818.53 28338.8
40 1.13968 66.1728 -1755.95 32356.7
40 1.13968 62.7894 -1474.34 25468.9
40 1.13968 59.9514 -1252.32 20339.6
40 1.13968 57.5824 -1081.77 16672
40 1.13968 55.5498 -944.593 13886.1
40 1.13968 53.7773 -830.797 11678.9
40 1.13968 54.1947 -1090.02 23960.6
40 1.13968 52.6282 -960.229 19997
40 1.13968 51.2689 -856.05 17047.9
40 1.13968 50.0521 -766.494 14538.8
40 1.13968 48.9801 -692.901 12641.8
40 1.13968 48.0035 -627.363 10987.1
40 1.13968 47.127 -572.636 9703.38
40 1.13968 46.3239 -522.659 8530.88
40 1.13968 45.7138 -510.886 9287.22
40 1.13968 45.0357 -466.718 7887.98
40 1.13968 43.8612 -402.343 6485.27
40 1.13968 39.9932 -224.213 3258.45
40 1.13968 37.8296 -141.981 1901.57
50 1.2188 80.4603 -2357.05 39464
50 1.2188 74.8672 -1913.64 29808.9
50 1.2188 70.3704 -1885.15 34990.8
50 1.2188 66.7749 -1587.38 27665.3
50 1.2188 63.7795 -1357.16 22346.9
50 1.2188 61.2502 -1176.13 18409.2
50 1.2188 59.073 -1029.89 15400.6
50 1.2188 57.1806 -909.156 13026.9
50 1.2188 58.0144 -1266.1 29696.2
50 1.2188 56.2851 -1112.94 24585.3
50 1.2188 54.7928 -992.609 20923.3
50 1.2188 53.4292 -883.752 17644.1
50 1.2188 52.2558 -800.81 15401.7
50 1.2188 51.1901 -727.571 13480.1
50 1.2188 50.2349 -665.232 11907.7
50 1.2188 49.3676 -612.313 10668.4
50 1.2188 48.8152 -633.623 13755.5
50 1.2188 48.039 -572.457 11234
50 1.2188 46.7655 -507.756 10413.4
50 1.2188 42.4526 -283.886 4893.03
50 1.2188 40.0297 -181.199 2822.53
60 1.31045 86.8682 -2542.94 43096.5
60 1.31045 80.8902 -2073.53 32777.1
60 1.31045 76.1532 -2069.67 39169.1
60 1.31045 72.2968 -1751.52 31216.4
60 1.31045 69.0444 -1501.94 25340.4
60 1.31045 66.2707 -1301.11 20860.8
60 1.31045 63.9096 -1142.74 17543.6
60 1.31045 61.8612 -1012.82 14937.3
60 1.31045 63.0222 -1458.65 35781.3
60 1.31045 61.1708 -1299.83 30526.7
60 1.31045 59.4819 -1154.72 25809.5
60 1.31045 58.0245 -1041.69 22374.9
60 1.31045 56.6978 -941.253 19413.8
60 1.31045 55.5237 -858.096 17080.5
60 1.31045 54.4296 -779.757 14904.1
60 1.31045 53.4605 -716.286 13263.7
60 1.31045 52.9281 -766.579 18505.7
60 1.31045 52.1007 -710.63 16743.9
60 1.31045 50.6378 -616.81 13972.1
60 1.31045 45.7511 -335.03 5811.13
60 1.31045 43.0391 -219.918 3656.24
70 1.40272 95.1126 -2820.54 49410
70 1.40272 88.6588 -2310.52 37869.4
70 1.40272 83.485 -2320.85 45651.9
70 1.40272 79.2613 -1965.79 36405.1
70 1.40272 75.731 -1691.93 29741.2
70 1.40272 72.7078 -1472.62 24707.9
70 1.40272 70.1069 -1294.76 20818.4
70 1.40272 67.8452 -1148.75 17768.3
70 1.40272 69.2431 -1685.22 43642.3
70 1.40272 67.1834 -1500.85 37195.6
70 1.40272 65.3465 -1341.16 31701.6
70 1.40272 63.7027 -1206.38 27395.2
